-11,-13,4,-4,-7,5,-16,12,10,4,-8,12,11,3,-4,11,-9,-6,9,21,15,7,-10,4,13,25,-3,5
-12,-6,-8,-6,-2,-9,-12,2,-4,-6,5,8,-6,-9,4,-12,0,-9,-5,9,4,1,-8,11,-1,0,6,-11
-4,-3,9,-7,10,19,2,-4,8,-11,-42,16,1,-12,9,-5,7,1,7,11,4,-10,0,-6,6,-42,-11,-11
0,-7,-2,-9,-1,2,11,5,-6,8,-12,-6,9,-2,1,-6,-9,0,1,10,-7,-11,-11,3,-5,-1,6,-2
-1,-1,5,-11,-11,-1,-22,-5,-12,-5,-24,5,-6,-1,11,3,-11,12,9,29,8,-6,-9,10,2,48,0,30
-5,0,0,7,2,12,-19,8,4,9,-7,17,-12,13,0,-6,-5,8,10,23,24,7,-5,-2,4,17,-9,36
-8,6,11,1,-8,-7,4,-8,1,-7,-1,-3,6,5,0,-11,12,-7,8,-7,5,3,8,-2,2,3,6,-13
4,-4,-8,-12,7,-1,-3,-1,4,3,2,-7,-5,10,-10,-5,12,-3,7,0,1,1,3,0,-2,-5,5,-10
3,-3,-10,9,2,-17,4,6,0,12,14,-14,8,-14,6,1,-6,-9,-8,-2,7,-1,1,8,-5,13,-10,-4
-10,7,8,2,-9,-21,-4,8,-10,8,-14,-34,-12,-6,-2,-5,3,0,-7,-1,-1,-12,7,0,-3,34,6,-6
11,-2,-10,9,-6,-10,-6,2,-3,0,4,-18,12,-17,-2,2,6,-11,-2,7,1,2,10,-12,-23,0,0,22
